,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YOR027W,1081.239528,-1.008732678,0.28352761,12.60482805,0.000384752,0.014838861
YAL021C,207.9075001,-0.997691518,0.348509873,8.178066455,0.004239993,0.0778856
YGL028C,269.2597939,-0.995936265,0.350070971,8.063971757,0.004515409,0.08024443
YKL157W,432.6030806,-0.99358895,0.293851507,11.43402128,0.000721114,0.02306718
YJL109C,656.5439044,-0.991820876,0.345169667,8.252823531,0.004068866,0.076280193
YOR310C,1494.28778,-0.989700913,0.309821221,10.15171381,0.001441672,0.036634625
YPR074C,3156.956982,-0.984934111,0.29947284,10.77059319,0.001031255,0.029056799
YIL030C,302.3061109,-0.97631231,0.305167969,10.22902527,0.001382477,0.035970862
YPR145W,1583.173375,-0.971820055,0.282657385,11.78374615,0.000597501,0.02029636
YJL172W,347.8195267,-0.965635718,0.302706292,10.14117224,0.001449939,0.036673348
YGL137W,691.9931104,-0.964817884,0.260789348,13.65391021,0.000219783,0.010043536
YGL084C,191.6663992,-0.953776561,0.335496952,8.048689519,0.004553658,0.080660565
YBR036C,347.1351335,-0.952798345,0.297424626,10.18756317,0.00141391,0.036497243
YOR086C,260.3419509,-0.943131431,0.30234223,9.693666716,0.001849042,0.044101273
YOR335C,1387.639614,-0.936568075,0.290239082,10.38173088,0.001272683,0.034330611
YKL184W,218.8535847,-0.9209139,0.330501423,7.742764347,0.005392818,0.092220585
YOR151C,537.1508569,-0.917805223,0.269378612,11.5759858,0.00066809,0.021885987
YBR121C,1528.467772,-0.914125463,0.253010462,13.01371913,0.000309217,0.012643031
YPR033C,631.348638,-0.909877923,0.279368968,10.57869064,0.001143987,0.031685472
YGL148W,811.8929834,-0.908901684,0.304905809,8.851092057,0.002929136,0.061500543
YDR395W,633.2068946,-0.900952762,0.275956388,10.65437444,0.001098109,0.030623157
YLR197W,1536.943767,-0.898388741,0.321096978,7.800939286,0.005221908,0.089863092
YER001W,507.528128,-0.895884907,0.311355366,8.270168194,0.004030177,0.076097583
YGL200C,366.6004892,-0.895371826,0.292125463,9.351018868,0.002228615,0.051135909
YDR127W,830.0193171,-0.894649581,0.310264767,8.291453017,0.00398321,0.076097583
YMR203W,645.9165566,-0.891741346,0.260794689,11.64546486,0.000643592,0.0213543
YHR205W,285.05134,-0.885258621,0.296945649,8.838253383,0.002949813,0.061696477
YJL034W,2390.112879,-0.882597453,0.265080977,11.04179543,0.000890805,0.027523865
YEL042W,450.9703044,-0.881936808,0.305255062,8.313874541,0.003934337,0.076097583
YGL026C,850.5102193,-0.877218671,0.303868195,8.308855839,0.003945224,0.076097583
YCR017C,357.8235155,-0.874399864,0.291854371,8.946971562,0.0027793,0.059975522
YJR075W,232.8895828,-0.873300228,0.312856786,7.763440329,0.005331431,0.091458434
YDR341C,1073.519351,-0.868703163,0.269937862,10.33467458,0.001305541,0.034644396
YDR238C,656.9231453,-0.867136869,0.297018858,8.51482588,0.003522646,0.069658729
YGL234W,1049.574788,-0.865159212,0.311101045,7.714227078,0.005478731,0.092814144
YBR084W,706.40464,-0.863924876,0.273713506,9.939261326,0.001617905,0.039685547
YEL026W,766.8594725,-0.861121107,0.303891429,7.980607981,0.004728106,0.083208546
YGR175C,1066.931816,-0.847687308,0.299716212,7.963511633,0.004772972,0.083457952
YKR001C,550.7083907,-0.844360334,0.296089495,8.117945284,0.004382921,0.078921598
YNL085W,487.7570589,-0.839000527,0.281796899,8.863640386,0.002909068,0.061444032
YPL091W,386.0835134,-0.807598754,0.292619671,7.589238261,0.005871775,0.097349741
YOR168W,908.0680994,-0.800840242,0.260050956,9.471554143,0.002086825,0.048290019
YBR069C,426.3741079,-0.765385851,0.278530944,7.533198249,0.006057228,0.099530418
YER165W,2828.670886,-0.749622735,0.258766032,8.368799728,0.003817177,0.074668366
YER064C,353.9483274,0.9737683,0.345516821,7.951458959,0.004804863,0.083478732
YLR257W,392.3068627,1.017529754,0.326593161,9.727315053,0.001815495,0.043684345
YOR175C,215.5504188,1.029146256,0.348249682,8.719037555,0.003149042,0.064377791
YNL131W,196.7200372,1.101813126,0.396597316,7.692355185,0.005545521,0.093075757
YHL021C,226.1609224,1.121429475,0.387671263,8.284262493,0.003999014,0.076097583
YDR074W,391.2267606,1.169895228,0.312102657,14.01589626,0.000181272,0.008961412
YLR274W,150.4031592,1.200984475,0.421924935,8.308578894,0.003945825,0.076097583
YER078C,89.57502742,1.279463481,0.451259113,8.126311745,0.004362741,0.078921598
YKR091W,110.1111855,1.294307792,0.464349759,8.085562744,0.004461927,0.079815661
YOR303W,218.6487499,1.298310798,0.356468674,13.45172979,0.00024478,0.010564411
YIL056W,112.3681755,1.30762183,0.426721658,9.594615786,0.001951488,0.045545877
YDR171W,90.67800511,1.312587097,0.467415581,7.828987567,0.005141489,0.088760056
YPR127W,84.44667797,1.319615328,0.458732167,8.505742588,0.003540274,0.06975366
YHR142W,156.0426206,1.34366067,0.41109174,10.88576881,0.000969059,0.02877325
YGL196W,95.39237256,1.359719391,0.484758835,8.172180456,0.004253774,0.0778856
YHR030C,319.0246567,1.375590449,0.362971054,14.62497821,0.000131164,0.007132725
YHR198C,77.59707896,1.383737065,0.492239678,8.247004719,0.00408193,0.076280193
YKL120W,95.03195536,1.432825516,0.454066454,10.50060896,0.001193352,0.032610295
